year,course_type,course_name
2014,Full-Time,Nitec in Floristry
2014,Full-Time,Nitec in Food & Beverage Operations
2014,Full-Time,Nitec in Hair Services (Hair & Scalp Therapy)
2014,Full-Time,Nitec in Hair Services (Hair Fashion & Design)
2014,Full-Time,Nitec in Info-Communications Technology (Cloud Computing)
2014,Full-Time,Nitec in Info-Communications Technology (Networking & Systems Administration)
2014,Full-Time,Nitec in Interactive Media Design
2014,Full-Time,Nitec in Laser & Tooling Technology
2014,Full-Time,Nitec in Laser & Tooling Technology (3-year)
2014,Full-Time,Nitec in Mechanical Technology
2014,Full-Time,Nitec in Mechanical Technology (3-year)
2014,Full-Time,Nitec in Mechatronics
2014,Full-Time,Nitec in Medical Manufacturing Technology
2014,Full-Time,Nitec in Mobile Systems & Services
2014,Full-Time,Nitec in Nursing
2014,Full-Time,Nitec in Opticianry
2014,Full-Time,Nitec in Pastry & Baking
2014,Full-Time,Nitec in Product Design
2014,Full-Time,Nitec in Rapid Transit Technology
2014,Full-Time,Nitec in Retail Services (3-year)
2014,Full-Time,Nitec in Retail Services
2014,Full-Time,Nitec in Security Technology
2014,Full-Time,Nitec in Social Media & Web Development
2014,Full-Time,Nitec in Space Design (Architecture)
2014,Full-Time,Nitec in Space Design (Interior & Exhibition)
2014,Full-Time,Nitec in Travel & Tourism Services
2014,Full-Time,Nitec in Visual Communication
2014,Full-Time,Nitec in Visual Effects
2014,Full-Time,Nitec in Western Culinary Arts
2014,Full-Time,Technical Diploma in Culinary Arts
2014,Full-Time,Technical Engineer Diploma in Automotive Engineering
2014,Full-Time,Technical Engineer Diploma in Machine Technology
2014,Part-Time,Higher Nitec in Services - Accounting
2014,Part-Time,Higher Nitec in Services - Banking Services
2014,Part-Time,Higher Nitec in Services - Event Management
2014,Part-Time,Higher Nitec in Services - Hospitality Operations
2014,Part-Time,Higher Nitec in Services - Logistics for International Trade
2014,Part-Time,Higher Nitec in Services - Sport Management
2014,Part-Time,Higher Nitec in Services - Visual Merchandising
2014,Part-Time,Higher Nitec in Technology - Advanced Manufacturing
2014,Part-Time,Higher Nitec in Technology - Chemical Technology
2014,Part-Time,Higher Nitec in Technology - Civil & Structural Engineering Design
2014,Part-Time,Higher Nitec in Technology - Electrical Engineering
2014,Part-Time,Higher Nitec in Technology - Electronics Engineering
2014,Part-Time,Higher Nitec in Technology - Games Design & Development
2014,Part-Time,Higher Nitec in Technology - Marine & Offshore Technology
2014,Part-Time,Higher Nitec in Technology - Mechanical Engineering
2014,Part-Time,Higher Nitec in Technology - Mechatronics Engineering
2014,Part-Time,Higher Nitec in Technology - Offshore & Marine Engineering Design
2014,Part-Time,Higher Nitec in Technology - Security System Integration
2014,Part-Time,ISC in Electrical Wiring
2014,Part-Time,ISC in Gas Tungsten Arc Welding
2014,Part-Time,ISC in Residential Air-Conditioning
2014,Part-Time,ISC in Residential Plumbing
2014,Part-Time,ISC in Shielded Metal Arc Welding
2014,Part-Time,Nitec in Services - Digital Animation
2014,Part-Time,Nitec in Services - Food & Beverage Operations
2014,Part-Time,Nitec in Services - Interactive Media Design
2014,Part-Time,Nitec in Services - Product Design
2014,Part-Time,Nitec in Services - Space Design (Interior & Exhibition)
2014,Part-Time,Nitec in Services - Visual Communication
2014,Part-Time,Nitec in Technology - Automotive Technology (Heavy Vehicles)
2014,Part-Time,Nitec in Technology - Automotive Technology (Light Vehicles)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Biologics)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Petrochemicals)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Pharmaceuticals)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Process Instrumentation)
2014,Part-Time,Nitec in Technology - Electrical Technology (Power & Control)
2014,Part-Time,Nitec in Technology - Electronics (Computer & Networking)
2014,Part-Time,Nitec in Technology - Electronics (Instrumentation)
2014,Part-Time,Nitec in Technology - Electronics (Mobile Devices)
2014,Part-Time,Nitec in Technology - Facility Technology (Air Conditioning & Refrigeration)
2014,Part-Time,Nitec in Technology - Facility Technology (Mechanical & Electrical Services)
2014,Part-Time,Nitec in Technology - Facility Technology (Vertical Transportation)
2014,Part-Time,Nitec in Technology - Infocomm Technology (Networking & Systems Administration)
2014,Part-Time,Nitec in Technology - Mechanical Technology
2014,Part-Time,Nitec in Technology - Mechatronics
2014,Part-Time,Nitec in Technology - Security Technology
2014,Part-Time,Nitec in Technology - Social Media & Web Development
2014,Traineeship,Higher Nitec in Service Management
2014,Traineeship,Higher Nitec in Elder Care
2014,Traineeship,Higher Nitec in Marine & Offshore Technology
2014,Traineeship,ISC in Health Care (Home Care)
2014,Traineeship,ISC in Health Care (Outpatient)
2014,Traineeship,Nitec in Aircraft Maintenance (Avionics)
2014,Traineeship,Nitec in Aircraft Maintenance (Mechanical)
2014,Traineeship,Nitec in Automotive Technology (Heavy Vehicles)
2014,Traineeship,Nitec in Automotive Technology (Light Vehicles)
2014,Traineeship,Nitec in Beauty & Wellness
2014,Traineeship,Nitec in Business Services
2014,Traineeship,Nitec in Dental Assisting
2014,Traineeship,Nitec in Dental Technology
2014,Traineeship,Nitec in Electronics (Microelectronics)
2014,Traineeship,Nitec in Fabrication Technology (Hull & Structures)
2014,Traineeship,Nitec in Fabrication Technology (Marine Pipe)
2014,Traineeship,Nitec in Facility Technology (Mechanical & Electrical Services)
2014,Traineeship,Nitec in Food & Beverage Operations
2014,Traineeship,Nitec in Hair Services (Hair Fashion & Design)
2014,Traineeship,Nitec in Info-Communications Technology (Networking & Systems Administration)
2014,Traineeship,Nitec in Marine Electrical Technology
2014,Traineeship,Nitec in Marine Technology
2014,Traineeship,Nitec in Mechatronics
2014,Traineeship,Nitec in Pastry & Baking
2014,Traineeship,Nitec in Port Equipment Technology
2014,Traineeship,Nitec in Retail Services
2014,Traineeship,Nitec in Welding
2014,Traineeship,Nitec in Western Culinary Arts
2015,Full-Time,Higher Nitec in Accounting
2015,Full-Time,Higher Nitec in Aerospace Engineering 
2015,Full-Time,Higher Nitec in Banking Services
2015,Full-Time,Higher Nitec in Beauty & Spa Management
2015,Full-Time,Higher Nitec in Biotechnology
2015,Full-Time,Higher Nitec in Broadcast & Media Technology
2015,Full-Time,Higher Nitec in Business Information Systems
2015,Full-Time,Higher Nitec in Chemical Technology
2015,Full-Time,Higher Nitec in Civil & Structural Engineering Design
2015,Full-Time,Higher Nitec in Cyber & Network Security
2015,Full-Time,Higher Nitec in Early Childhood Education
2015,Full-Time,Higher Nitec in Electrical Engineering
2015,Full-Time,Higher Nitec in Electronics Engineering
2015,Full-Time,Higher Nitec in Engineering with Business
2015,Full-Time,Higher Nitec in Event Management
2015,Full-Time,Higher Nitec in Facility Management
2015,Full-Time,Higher Nitec in Facility Systems Design
2015,Full-Time,Higher Nitec in Filmmaking (Cinematography)
2015,Full-Time,Higher Nitec in Games Art & Design
2015,Full-Time,Higher Nitec in Games Programming & Development
2015,Full-Time,Higher Nitec in Hospitality Operations
2015,Full-Time,Higher Nitec in Human Resource & Administration
2015,Full-Time,Higher Nitec in Information Technology
2015,Full-Time,Higher Nitec in Interactive Media & Design
2015,Full-Time,Higher Nitec in Leisure & Travel Operations
2015,Full-Time,Higher Nitec in Logistics for International Trade
2015,Full-Time,Higher Nitec in Marine & Offshore Technology
2015,Full-Time,Higher Nitec in Marine Engineering 
2015,Full-Time,Higher Nitec in Mechanical Engineering
2015,Full-Time,Higher Nitec in Mechatronics Engineering
2015,Full-Time,Higher Nitec in Mobile Unified Communications
2015,Full-Time,Higher Nitec in Offshore & Marine Engineering Design
2015,Full-Time,Higher Nitec in Paramedic & Emergency Care
2015,Full-Time,Higher Nitec in Passenger Services 
2015,Full-Time,Higher Nitec in Performance Production
2015,Full-Time,Higher Nitec in Process Plant Design
2015,Full-Time,Higher Nitec in Rapid Transit Engineering
2015,Full-Time,Higher Nitec in Retail Merchandising
2015,Full-Time,Higher Nitec in Security System Integration
2015,Full-Time,Higher Nitec in Service Management
2015,Full-Time,Higher Nitec in Shipping Operations & Services
2015,Full-Time,Higher Nitec in Space Design Technology 
2015,Full-Time,Higher Nitec in Sport Management
2015,Full-Time,Higher Nitec in Visual Merchandising
2015,Full-Time,Higher Nitec in e-Business Programming
2015,Full-Time,Nitec in Aerospace Avionics
2015,Full-Time,Nitec in Aerospace Machining Technology
2015,Full-Time,Nitec in Aerospace Technology
2015,Full-Time,Nitec in Applied Food Science
2015,Full-Time,Nitec in Asian Culinary Arts
2015,Full-Time,Nitec in Automotive Technology (Heavy Vehicles)
2015,Full-Time,Nitec in Automotive Technology (Light Vehicles)
2015,Full-Time,Nitec in Beauty & Wellness
2015,Full-Time,Nitec in Beauty & Wellness (3-year) 
2015,Full-Time,Nitec in Business Services
2015,Full-Time,Nitec in Chemical Process Technology
2015,Full-Time,Nitec in Community Care & Social Services
2015,Full-Time,Nitec in Digital Animation
2015,Full-Time,Nitec in Digital Audio & Video Production
2015,Full-Time,Nitec in Electrical Technology (Lighting & Sound)
2015,Full-Time,Nitec in Electrical Technology (Power & Control)
2015,Full-Time,Nitec in Electronics (Broadband Technology & Services)
2015,Full-Time,Nitec in Electronics (Computer & Networking)
2015,Full-Time,Nitec in Electronics (Display Technology) 
2015,Full-Time,Nitec in Electronics (Instrumentation)
2015,Full-Time,Nitec in Electronics (Microelectronics)
2015,Full-Time,Nitec in Electronics (Mobile Devices)
2015,Full-Time,Nitec in Facility Technology (Air-Conditioning & Refrigeration)
2015,Full-Time,Nitec in Facility Technology (Landscaping Services)
2015,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services)
2015,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services) (3-year) 
2015,Full-Time,Nitec in Facility Technology (Vertical Transportation)
2015,Full-Time,Nitec in Fashion Apparel Production & Design
2015,Full-Time,Nitec in Finance Services 
2015,Full-Time,Nitec in Fitness Training
2015,Full-Time,Nitec in Floristry
2015,Full-Time,Nitec in Food & Beverage Operations
2015,Full-Time,Nitec in Hair Services (Hair & Scalp Therapy)
2015,Full-Time,Nitec in Hair Services (Hair Fashion & Design)
2015,Full-Time,Nitec in Info-Communications Technology (Cloud Computing) 
2015,Full-Time,Nitec in Info-Communications Technology (Mobile Networks & Applications)
2015,Full-Time,Nitec in Info-Communications Technology (Networking & Systems Administration)
2015,Full-Time,Nitec in Laser & Tooling Technology
2015,Full-Time,Nitec in Laser & Tooling Technology (3-year) 
2015,Full-Time,Nitec in Mechanical Technology
2015,Full-Time,Nitec in Mechanical Technology (3-year) 
2015,Full-Time,Nitec in Mechatronics
2015,Full-Time,Nitec in Medical Manufacturing Technology
2015,Full-Time,Nitec in Nursing
2015,Full-Time,Nitec in Opticianry
2015,Full-Time,Nitec in Pastry & Baking
2015,Full-Time,Nitec in Product Design
2015,Full-Time,Nitec in Rapid Transit Technology 
2015,Full-Time,Nitec in Retail Services (3-year) 
2015,Full-Time,Nitec in Retail Services 
2015,Full-Time,Nitec in Security Technology
2015,Full-Time,Nitec in Social Media & Web Development
2015,Full-Time,Nitec in Space Design (Architecture)
2015,Full-Time,Nitec in Space Design (Interior & Exhibition)
2015,Full-Time,Nitec in Travel & Tourism Services 
2015,Full-Time,Nitec in Visual Communication
2015,Full-Time,Nitec in Visual Effects
2015,Full-Time,Nitec in Western Culinary Arts 
2015,Full-Time,Technical Diploma in Culinary Arts 
2015,Full-Time,Technical Engineer Diploma in Automotive Engineering
2015,Full-Time,Technical Engineer Diploma in Machine Technology
2015,Part-Time,Higher Nitec in Services - Accounting
2015,Part-Time,Higher Nitec in Services - Banking Services
2015,Part-Time,Higher Nitec in Services - Event Management
2015,Part-Time,Higher Nitec in Services - Hospitality Operations
2015,Part-Time,Higher Nitec in Services - Logistics for International Trade
2015,Part-Time,Higher Nitec in Services - Sport Management
2015,Part-Time,Higher Nitec in Services - Visual Merchandising
2015,Part-Time,Higher Nitec in Technology - Advanced Manufacturing
2015,Part-Time,Higher Nitec in Technology - Chemical Technology
2015,Part-Time,Higher Nitec in Technology - Civil & Structural Engineering Design
2015,Part-Time,Higher Nitec in Technology - Electrical Engineering
2015,Part-Time,Higher Nitec in Technology - Electronics Engineering
2015,Part-Time,Higher Nitec in Technology - Facility Management
2015,Part-Time,Higher Nitec in Technology - Games Design & Development
2015,Part-Time,Higher Nitec in Technology - Information Technology
2015,Part-Time,Higher Nitec in Technology - Marine & Offshore Technology
2015,Part-Time,Higher Nitec in Technology - Mechanical Engineering
2015,Part-Time,Higher Nitec in Technology - Mechatronics Engineering
2015,Part-Time,Higher Nitec in Technology - Offshore & Marine Engineering Design
2015,Part-Time,Higher Nitec in Technology - Security System Integration
2015,Part-Time,ISC in Electrical Wiring
2015,Part-Time,ISC in Gas Tungsten Arc Welding
2015,Part-Time,ISC in Residential Air-Conditioning
2015,Part-Time,ISC in Residential Plumbing
2015,Part-Time,ISC in Shielded Metal Arc Welding
2015,Part-Time,Nitec in Services - Beauty & Wellness
2015,Part-Time,Nitec in Services - Business Services
2015,Part-Time,Nitec in Services - Digital Animation
2015,Part-Time,Nitec in Services - Food & Beverage Operations
2015,Part-Time,Nitec in Services - Interactive Media Design
2015,Part-Time,Nitec in Services - Pastry and Baking
2015,Part-Time,Nitec in Services - Product Design
2015,Part-Time,Nitec in Services - Space Design (Interior & Exhibition)
2015,Part-Time,Nitec in Services - Travel & Tourism Services
2015,Part-Time,Nitec in Services - Visual Communication
2015,Part-Time,Nitec in Technology - Automotive Technology (Heavy Vehicles)
2015,Part-Time,Nitec in Technology - Automotive Technology (Light Vehicles)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Biologics)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Petrochemicals)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Pharmaceuticals)
2015,Part-Time,Nitec in Technology - Chemical Process Technology (Process Instrumentation)
2015,Part-Time,Nitec in Technology - Electrical Technology (Power & Control)
2015,Part-Time,Nitec in Technology - Electronics (Broadband Technology & Services)
2015,Part-Time,Nitec in Technology - Electronics (Computer & Networking)
2015,Part-Time,Nitec in Technology - Electronics (Display Technology)
2015,Part-Time,Nitec in Technology - Electronics (Instrumentation)
2015,Part-Time,Nitec in Technology - Electronics (Mobile Devices)
2015,Part-Time,Nitec in Technology - Facility Technology (Air Conditioning & Refrigeration)
2015,Part-Time,Nitec in Technology - Facility Technology (Mechanical & Electrical Services)
2015,Part-Time,Nitec in Technology - Facility Technology (Vertical Transportation)
2015,Part-Time,Nitec in Technology - Infocomm Technology (Networking & Systems Administration)
2015,Part-Time,Nitec in Technology - Mechanical Technology
2015,Part-Time,Nitec in Technology - Mechatronics
2015,Part-Time,Nitec in Technology - Security Technology
2015,Part-Time,Nitec in Technology - Social Media & Web Development
2015,Traineeship,Higher Nitec in Elder Care
2015,Traineeship,Higher Nitec in Marine & Offshore Technology
2015,Traineeship,Higher Nitec in Service Management
2015,Traineeship,ISC in Health Care (Home Care)
2015,Traineeship,ISC in Health Care (Outpatient)
2015,Traineeship,Nitec in Aircraft Maintenance (Avionics)
2015,Traineeship,Nitec in Aircraft Maintenance (Mechanical)
2015,Traineeship,Nitec in Asian Culinary Arts
2015,Traineeship,Nitec in Automotive Technology (Heavy Vehicles)
2015,Traineeship,Nitec in Automotive Technology (Light Vehicles)
2015,Traineeship,Nitec in Beauty & Wellness
2015,Traineeship,Nitec in Business Services
2015,Traineeship,Nitec in Dental Assisting
2015,Traineeship,Nitec in Dental Technology
2015,Traineeship,Nitec in Electronics (Microelectronics)
2015,Traineeship,Nitec in Fabrication Technology (Hull & Structures)
2015,Traineeship,Nitec in Fabrication Technology (Marine Pipe)
2015,Traineeship,Nitec in Facility Technology (Mechanical & Electrical Services)
2015,Traineeship,Nitec in Food & Beverage Operations
2015,Traineeship,Nitec in Hair Services (Hair Fashion & Design)
2015,Traineeship,Nitec in Info-Communications Technology (Networking & Systems Administration)
2015,Traineeship,Nitec in Marine Electrical Technology
2015,Traineeship,Nitec in Marine Technology
2015,Traineeship,Nitec in Mechatronics
2015,Traineeship,Nitec in Pastry & Baking
2015,Traineeship,Nitec in Port Equipment Technology
2015,Traineeship,Nitec in Retail Services
2015,Traineeship,Nitec in Welding
2015,Traineeship,Nitec in Western Culinary Arts
2016,Full-Time,Higher Nitec in Accounting
2016,Full-Time,Higher Nitec in Banking Services
2016,Full-Time,Higher Nitec in Beauty & Spa Management
2016,Full-Time,Higher Nitec in Biotechnology
2016,Full-Time,Higher Nitec in Broadcast & Media Technology 
2016,Full-Time,Higher Nitec in Business Information Systems
2016,Full-Time,Higher Nitec in Chemical Technology
2016,Full-Time,Higher Nitec in Civil & Structural Engineering Design
2016,Full-Time,Higher Nitec in Cyber & Network Security 
2016,Full-Time,Higher Nitec in Early Childhood Education
2016,Full-Time,Higher Nitec in Electrical Engineering
2016,Full-Time,Higher Nitec in Electronics Engineering
2016,Full-Time,Higher Nitec in Engineering with Business
2016,Full-Time,Higher Nitec in Event Management
2016,Full-Time,Higher Nitec in Facility Management
2016,Full-Time,Higher Nitec in Facility Systems Design
2016,Full-Time,Higher Nitec in Filmmaking (Cinematography)
2016,Full-Time,Higher Nitec in Games Art & Design 
2016,Full-Time,Higher Nitec in Games Programming & Development 
2016,Full-Time,Higher Nitec in Hospitality Operations
2016,Full-Time,Higher Nitec in Human Resource & Administration
2016,Full-Time,Higher Nitec in Information Technology
2016,Full-Time,Higher Nitec in Interactive Design 
2016,Full-Time,Higher Nitec in Leisure & Travel Operations
2016,Full-Time,Higher Nitec in Logistics for International Trade
2016,Full-Time,Higher Nitec in Marine & Offshore Technology
2016,Full-Time,Higher Nitec in Marine Engineering 
2016,Full-Time,Higher Nitec in Mechanical Engineering
2016,Full-Time,Higher Nitec in Mechatronics Engineering
2016,Full-Time,Higher Nitec in Mobile Unified Communications
2016,Full-Time,Higher Nitec in Offshore & Marine Engineering Design
2016,Full-Time,Higher Nitec in Paramedic & Emergency Care
2016,Full-Time,Higher Nitec in Passenger Services 
2016,Full-Time,Higher Nitec in Performance Production
2016,Full-Time,Higher Nitec in Precision Engineering
2016,Full-Time,Higher Nitec in Process Plant Design
2016,Full-Time,Higher Nitec in Rapid Transit Engineering
2016,Full-Time,Higher Nitec in Retail Merchandising
2016,Full-Time,Higher Nitec in Security System Integration
2016,Full-Time,Higher Nitec in Service Management
2016,Full-Time,Higher Nitec in Shipping Operations & Services
2016,Full-Time,Higher Nitec in Space Design Technology 
2016,Full-Time,Higher Nitec in Sport Management
2016,Full-Time,Higher Nitec in Visual Merchandising
2016,Full-Time,Higher Nitec in e-Business Programming
2016,Full-Time,Nitec in Aerospace Avionics
2016,Full-Time,Nitec in Aerospace Machining Technology
2016,Full-Time,Nitec in Aerospace Technology
2016,Full-Time,Nitec in Applied Food Science
2016,Full-Time,Nitec in Asian Culinary Arts
2016,Full-Time,Nitec in Automotive Technology (Heavy Vehicles)
2016,Full-Time,Nitec in Automotive Technology (Light Vehicles)
2016,Full-Time,Nitec in Beauty & Wellness
2016,Full-Time,Nitec in Beauty & Wellness (3-year) 
2016,Full-Time,Nitec in Business Services
2016,Full-Time,Nitec in Chemical Process Technology
2016,Full-Time,Nitec in Community Care & Social Services
2016,Full-Time,Nitec in Digital Animation
2016,Full-Time,Nitec in Digital Audio & Video Production
2016,Full-Time,Nitec in Electrical Technology (Lighting & Sound)
2016,Full-Time,Nitec in Electrical Technology (Power & Control)
2016,Full-Time,Nitec in Electronics (Broadband Technology & Services)
2016,Full-Time,Nitec in Electronics (Computer & Networking)
2016,Full-Time,Nitec in Electronics (Display Technology) 
2016,Full-Time,Nitec in Electronics (Instrumentation)
2016,Full-Time,Nitec in Electronics (Microelectronics)
2016,Full-Time,Nitec in Electronics (Mobile Devices)
2016,Full-Time,Nitec in Facility Technology (Air-Conditioning & Refrigeration)
2016,Full-Time,Nitec in Facility Technology (Landscaping Services)
2016,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services)
2016,Full-Time,Nitec in Facility Technology (Mechanical & Electrical Services) (3-year) 
2016,Full-Time,Nitec in Facility Technology (Vertical Transportation)
2016,Full-Time,Nitec in Fashion Apparel Production & Design
2016,Full-Time,Nitec in Finance Services 
2016,Full-Time,Nitec in Fitness Training
2016,Full-Time,Nitec in Floristry
2016,Full-Time,Nitec in Food & Beverage Operations
2016,Full-Time,Nitec in Hair Fashion & Design
2016,Full-Time,Nitec in Info-Communications Technology (Cloud Computing) 
2016,Full-Time,Nitec in Info-Communications Technology (Mobile Networks & Applications) 
2016,Full-Time,Nitec in Info-Communications Technology (Networking & Systems Administration)
2016,Full-Time,Nitec in Laser & Tooling Technology
2016,Full-Time,Nitec in Laser & Tooling Technology (3-year) 
2016,Full-Time,Nitec in Logistics Services
2016,Full-Time,Nitec in Mechanical Technology
2016,Full-Time,Nitec in Mechanical Technology (3-year) 
2016,Full-Time,Nitec in Mechatronics
2016,Full-Time,Nitec in Medical Manufacturing Technology
2016,Full-Time,Nitec in Nursing
2016,Full-Time,Nitec in Opticianry
2016,Full-Time,Nitec in Pastry & Baking
2016,Full-Time,Nitec in Product Design
2016,Full-Time,Nitec in Rapid Transit Technology 
2016,Full-Time,Nitec in Retail Services (3-year) 
2016,Full-Time,Nitec in Retail Services 
2016,Full-Time,Nitec in Security Technology
2016,Full-Time,Nitec in Social Media & Web Development
2016,Full-Time,Nitec in Space Design (Architecture)
2016,Full-Time,Nitec in Space Design (Interior & Exhibition)
2016,Full-Time,Nitec in Travel & Tourism Services 
2016,Full-Time,Nitec in Visual Communication
2016,Full-Time,Nitec in Visual Effects
2016,Full-Time,Nitec in Western Culinary Arts
2016,Full-Time,Technical Diploma in Culinary Arts 
2016,Full-Time,Technical Engineer Diploma in Automotive Engineering
2016,Full-Time,Technical Engineer Diploma in Machine Technology
2016,Part-Time,Higher Nitec in Services - Accounting
2016,Part-Time,Higher Nitec in Services - Banking Services
2016,Part-Time,Higher Nitec in Services - Event Management
2016,Part-Time,Higher Nitec in Services - Hospitality Operations
2016,Part-Time,Higher Nitec in Services - Human Resource & Administration
2016,Part-Time,Higher Nitec in Services - Interactive Design
2016,Part-Time,Higher Nitec in Services - Logistics for International Trade
2016,Part-Time,Higher Nitec in Services - Space Design Technology
2016,Part-Time,Higher Nitec in Services - Visual Merchandising
2016,Part-Time,Higher Nitec in Technology - Chemical Technology
2016,Part-Time,Higher Nitec in Technology - Civil & Structural Engineering Design
2016,Part-Time,Higher Nitec in Technology - Electrical Engineering
2016,Part-Time,Higher Nitec in Technology - Electronics Engineering
2016,Part-Time,Higher Nitec in Technology - Facility Management
2016,Part-Time,Higher Nitec in Technology - Games Art & Design
2016,Part-Time,Higher Nitec in Technology - Games Programming & Development
2016,Part-Time,Higher Nitec in Technology - Information Technology
2016,Part-Time,Higher Nitec in Technology - Marine & Offshore Technology
2016,Part-Time,Higher Nitec in Technology - Mechanical Engineering
2016,Part-Time,Higher Nitec in Technology - Mechatronics Engineering
2016,Part-Time,Higher Nitec in Technology - Offshore & Marine Engineering Design
2016,Part-Time,Higher Nitec in Technology - Security System Integration
2016,Part-Time,ISC in Electrical Wiring
2016,Part-Time,ISC in Gas Tungsten Arc Welding
2016,Part-Time,ISC in Residential Air-Conditioning
2016,Part-Time,ISC in Residential Plumbing
2016,Part-Time,ISC in Shielded Metal Arc Welding
2016,Part-Time,Nitec in Services - Beauty & Wellness
2016,Part-Time,Nitec in Services - Business Services
2016,Part-Time,Nitec in Services - Digital Animation
2016,Part-Time,Nitec in Services - Pastry and Baking
2016,Part-Time,Nitec in Services - Space Design (Interior & Exhibition)
2016,Part-Time,Nitec in Services - Travel & Tourism Services
2016,Part-Time,Nitec in Services - Visual Communication
2016,Part-Time,Nitec in Technology - Aerospace Machining Technology
2016,Part-Time,Nitec in Technology - Automotive Technology (Heavy Vehicles)
