Chinese Language Syllabus B
Biology
Chemistry
Chinese Language
Economics
General Studies in Chinese
Geography
General Paper
History
Literature in English
Mathematics
Malay Language
Physics
Project Work
Tamil Language
Art
Chinese Language and Literature
Further Mathematics
Malay Language and Literature
Tamil Language and Literature
Smu Game Theory
Ntu Molecular Biology
Ntu Semiconductor Physics & Devices
